"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SFRP22",3.69311310124291e-09,0.784688304734208,0.762,0.36,6.97998376134911e-05,"17","SFRP2"
"TRIM22",5.17303793817157e-09,0.387567420112116,0.5,0.157,9.77704170314426e-05,"17","TRIM22"
"TNFRSF12A1",5.32734851461445e-09,0.702345536999795,0.762,0.396,0.000100686886926213,"17","TNFRSF12A"
"SELENOM1",5.50047056446991e-09,0.766382308628223,0.833,0.473,0.000103958893668481,"17","SELENOM"
"MARCKS1",7.04284662385996e-09,0.708899895191797,0.905,0.668,0.000133109801190953,"17","MARCKS"
"ARPIN",7.16640969267087e-09,0.343918556526479,0.5,0.157,0.000135445143191479,"17","ARPIN"
"ILK",7.25121624989765e-09,0.73205699027252,0.762,0.434,0.000137047987123066,"17","ILK"
"TYMP3",8.31490208629115e-09,0.68050046822938,0.952,0.631,0.000157151649430903,"17","TYMP"
"HCFC1R1",9.23937072623858e-09,0.476310089863481,0.619,0.24,0.000174624106725909,"17","HCFC1R1"
"ITGB21",1.07946927899165e-08,0.536066576003722,0.643,0.261,0.000204019693729422,"17","ITGB2"
"PHLDB1",1.19607949627387e-08,0.448984831202181,0.571,0.21,0.000226059024795761,"17","PHLDB1"
"MT2A2",1.34006944431333e-08,0.922240708654526,0.833,0.503,0.000253273124975219,"17","MT2A"
"BST26",1.64063428084767e-08,0.763675350446774,0.857,0.497,0.00031007987908021,"17","BST2"
"CD682",1.97602152305628e-08,0.572285586386395,0.786,0.38,0.000373468067857637,"17","CD68"
"MXRA7",1.99921025307012e-08,0.62529175511412,0.857,0.511,0.000377850737830253,"17","MXRA7"
"SLC16A33",2.19806198446901e-08,0.515601924128106,0.69,0.305,0.000415433715064643,"17","SLC16A3"
"RUNX11",2.57546677953876e-08,0.627073090782131,0.667,0.334,0.000486763221332826,"17","RUNX1"
"ANXA52",2.65593118727615e-08,0.66061301251215,0.881,0.574,0.000501970994395193,"17","ANXA5"
"BCAR1",2.99884150551608e-08,0.526857476809927,0.619,0.255,0.000566781044542539,"17","BCAR1"
"RECQL",3.31260094211887e-08,0.364765471268332,0.5,0.168,0.000626081578060467,"17","RECQL"
"PPIB",3.66366443555615e-08,0.56405835721483,1,0.888,0.000692432578320113,"17","PPIB"
