"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CAVIN33",4.97156926526987e-18,0.61997083085285,0.754,0.411,1.04154376107404e-13,"14","CAVIN3"
"SV2B3",1.26614197637713e-16,0.576208883552509,0.833,0.487,2.65256744051009e-12,"14","SV2B"
"DHCR72",2.07142497891838e-16,0.613738877141335,0.841,0.596,4.339635330834e-12,"14","DHCR7"
"PHLDA22",2.88665642338091e-16,0.548085638411079,0.667,0.348,6.04754520698302e-12,"14","PHLDA2"
"PEG102",4.38017876203324e-16,0.615642587610074,0.905,0.711,9.17647450645965e-12,"14","PEG10"
"UNC5D3",2.14587565689959e-15,0.559291093118959,0.841,0.555,4.49560950120465e-11,"14","UNC5D"
"CD2763",5.37493402640676e-15,0.616431729142734,0.873,0.716,1.12604867853222e-10,"14","CD276"
"CALB13",3.75537390171543e-14,0.538446465200335,0.786,0.493,7.86750832409383e-10,"14","CALB1"
"HS6ST13",4.10386739559881e-14,0.547708147854834,0.929,0.745,8.59760219377951e-10,"14","HS6ST1"
"COL3A14",1.19311934444183e-13,0.328446891921372,0.944,0.657,2.49958502660563e-09,"14","COL3A1"
"PLXNA14",1.29639739818989e-13,0.433071495158625,0.929,0.71,2.71595254920782e-09,"14","PLXNA1"
"COL1A25",5.60101826749241e-13,0.274983977423147,1,0.744,1.17341332703966e-08,"14","COL1A2"
"PLVAP4",2.1190401049129e-12,0.363201953536754,0.698,0.396,4.43938901979253e-08,"14","PLVAP"
"G6PD3",4.03685741393594e-12,0.492699102008183,0.746,0.472,8.45721628219579e-08,"14","G6PD"
"RGS54",5.49567201048975e-12,0.33710134018783,0.714,0.39,1.1513432861976e-07,"14","RGS5"
"TTYH31",2.01153507472338e-11,0.473668832119002,0.937,0.794,4.21416598154549e-07,"14","TTYH3"
"APRT2",2.85961651593081e-11,0.426814266480436,0.913,0.74,5.99089660087504e-07,"14","APRT"
"HLA-DQB13",3.29351016683241e-11,0.450287329533801,0.714,0.434,6.89990379951389e-07,"14","HLA-DQB1"
"CITED11",6.91879530561798e-11,0.314822799374796,0.532,0.26,1.44948761652697e-06,"14","CITED1"
"HEXB2",9.20608769514179e-11,0.373408678233588,0.952,0.78,1.92867537213221e-06,"14","HEXB"
"OCIAD23",3.4034922270302e-10,0.460182948106034,0.722,0.478,7.13031621562827e-06,"14","OCIAD2"
"LZTS14",3.92776371670246e-10,0.424781724927942,0.889,0.686,8.22866498649164e-06,"14","LZTS1"
"ZNF4363",4.11467690737978e-10,0.424963712274365,0.944,0.825,8.62024812096064e-06,"14","ZNF436"
"HLA-DPB14",5.14827782955296e-10,0.461989801663468,0.833,0.627,1.07856420529135e-05,"14","HLA-DPB1"
"NRXN32",5.33510847579462e-10,0.43550160183856,0.651,0.396,1.11770522567897e-05,"14","NRXN3"
"TREM24",5.70500556507031e-10,0.367704718563686,0.706,0.417,1.19519866588223e-05,"14","TREM2"
"ADAMTS13",9.32190304789688e-10,0.342635041331656,0.706,0.423,1.9529386885344e-05,"14","ADAMTS1"
"POLD43",4.37841219324863e-09,0.406577487450295,0.865,0.703,9.17277354485589e-05,"14","POLD4"
"FABP53",5.26228217833741e-09,0.368767639718641,0.897,0.737,0.000110244811636169,"14","FABP5"
"CA113",7.25900100286537e-09,0.392207137668662,0.881,0.73,0.00015207607101003,"14","CA11"
