"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DYNLT31",2.17331063213236e-06,0.395681925386158,0.678,0.376,0.0346556113399826,"12","DYNLT3"
"IFT881",2.19903738701267e-06,0.298570071341059,0.559,0.263,0.035065850173304,"12","IFT88"
"IKBKG",2.20477121130818e-06,0.461789696058882,0.797,0.518,0.0351572817355202,"12","IKBKG"
"ADGRF12",2.24566176389094e-06,0.328354789984065,0.542,0.257,0.035809322487005,"12","ADGRF1"
"SAYSD1",2.25161311161332e-06,0.282602397735153,0.508,0.233,0.035904222677786,"12","SAYSD1"
"GSDMB3",2.27442029561639e-06,0.415339218886386,0.932,0.829,0.0362679060338989,"12","GSDMB"
"PIK3R2",2.29726223124094e-06,0.324550625454355,0.678,0.357,0.036632143539368,"12","PIK3R2"
"OSBPL9",2.3519939105395e-06,0.412394625482521,0.898,0.662,0.0375048948974629,"12","OSBPL9"
"LSS1",2.35660769182879e-06,0.420383567514919,0.831,0.561,0.0375784662539019,"12","LSS"
"MED10",2.36431654680987e-06,0.338754575090635,0.695,0.361,0.0377013916554302,"12","MED10"
"CLDN151",2.46601107754561e-06,0.291945632137154,0.525,0.243,0.0393230126425422,"12","CLDN15"
"PREP",2.49715704277368e-06,0.384795527428806,0.746,0.423,0.0398196662040691,"12","PREP"
"DGAT1",2.49734339774442e-06,0.342792751920421,0.661,0.35,0.0398226378204325,"12","DGAT1"
"PHLDA22",2.50187618687362e-06,0.398107589050094,0.508,0.257,0.0398949176758867,"12","PHLDA2"
"TMCC1",2.53449021981786e-06,0.383282537424445,0.61,0.322,0.0404149810452156,"12","TMCC1"
"EPHB43",2.56405343559359e-06,0.460532100554592,0.966,0.793,0.0408863960839754,"12","EPHB4"
"GATAD1",2.58742486009912e-06,0.349909397667491,0.593,0.305,0.0412590768191406,"12","GATAD1"
"TMEM51",2.6905382130327e-06,0.339444320282611,0.542,0.267,0.0429033223450195,"12","TMEM51"
"TINAGL12",2.7533137149803e-06,0.398307126698758,0.729,0.428,0.0439043404990759,"12","TINAGL1"
"SYNGR1",2.76042361158872e-06,0.293750128983902,0.542,0.258,0.0440177149103938,"12","SYNGR1"
"DEPTOR2",2.77443542547327e-06,0.450978927649733,0.78,0.467,0.0442411472945968,"12","DEPTOR"
"NUDCD13",2.80394814184631e-06,0.300147900182052,0.729,0.39,0.0447117570698812,"12","NUDCD1"
"DDAH11",2.80473335898527e-06,0.377967310730587,0.627,0.338,0.0447242781423791,"12","DDAH1"
"RAE1",2.83743932094711e-06,0.336432017506829,0.678,0.364,0.0452458074118226,"12","RAE1"
"CHMP2B1",2.85529100548591e-06,0.317381358365006,0.627,0.32,0.0455304703734783,"12","CHMP2B"
"MAST21",2.85848367810489e-06,0.32324608021096,0.661,0.344,0.0455813807310606,"12","MAST2"
"ZSCAN30",2.87266390602927e-06,0.29865447945492,0.644,0.323,0.0458074986455427,"12","ZSCAN30"
"FAM210B",2.89467571920651e-06,0.478522363155008,0.814,0.618,0.0461584990184669,"12","FAM210B"
"TFAP2B4",2.94007729573254e-06,0.448531644165672,0.932,0.712,0.0468824725577511,"12","TFAP2B"
"NFIA3",2.9470673096212e-06,0.364095257336659,0.831,0.524,0.0469939353192197,"12","NFIA"
"PAIP1",2.95543847601675e-06,0.340400222282723,0.661,0.343,0.0471274219385631,"12","PAIP1"
"EPB41L12",2.98203600787322e-06,0.493810320294299,0.763,0.545,0.0475515461815464,"12","EPB41L1"
"IQCE3",2.98371140018906e-06,0.324327906692591,0.712,0.379,0.0475782619874148,"12","IQCE"
"SOX93",3.00384487427394e-06,0.410391180700131,0.932,0.721,0.0478993103651722,"12","SOX9"
"ZNF251",3.02252743759969e-06,0.301363313093777,0.525,0.251,0.0481972225199646,"12","ZNF251"
"UNC13D2",3.0238664350148e-06,0.485986607903253,0.831,0.626,0.048218574172746,"12","UNC13D"
"C8orf331",3.03683831570219e-06,0.392194210277559,0.814,0.482,0.0484254237821872,"12","C8orf33"
"C11orf492",3.06811606008114e-06,0.348756339582203,0.678,0.38,0.0489241786940539,"12","C11orf49"
"XPR11",3.06948443711087e-06,0.336414111066459,0.644,0.34,0.0489459988341699,"12","XPR1"
"FOXJ3",3.10439052221226e-06,0.334935682561295,0.712,0.392,0.0495026112671966,"12","FOXJ3"
"KIAA0753",3.13467941719277e-06,0.281807981500744,0.508,0.234,0.0499855979865559,"12","KIAA0753"
"ZNF431",3.23166911239131e-06,0.308396904948303,0.576,0.29,0.0515321956661918,"12","ZNF431"
"FOXRED1",3.27792327887612e-06,0.292893167247455,0.593,0.294,0.0522697646049586,"12","FOXRED1"
"YES13",3.32028629319412e-06,0.423084147079236,0.729,0.416,0.0529452852312735,"12","YES1"
"MACO1",3.34248373362795e-06,0.400765767655642,0.729,0.442,0.0532992456164313,"12","MACO1"
"PCDH13",3.35524029839095e-06,0.390399891080632,0.712,0.414,0.0535026617981421,"12","PCDH1"
"RCHY11",3.36253481320009e-06,0.308396904948303,0.576,0.29,0.0536189801312886,"12","RCHY1"
"STBD11",3.41592648630803e-06,0.365811997797594,0.508,0.247,0.0544703637506679,"12","STBD1"
"ZW10",3.51627788843068e-06,0.309016885637212,0.525,0.255,0.0560705672089156,"12","ZW10"
"CBR4",3.64980319910846e-06,0.433034166135091,0.661,0.384,0.0581997618129835,"12","CBR4"
"TMED33",3.71568962368466e-06,0.374953979762559,0.915,0.806,0.0592503867392756,"12","TMED3"
"PIK3R34",3.7560170197468e-06,0.388998444131718,0.932,0.662,0.0598934473968824,"12","PIK3R3"
"FAM171B1",3.81422774622806e-06,0.387353973903747,0.525,0.26,0.0608216756413526,"12","FAM171B"
"IFT571",3.8173294618427e-06,0.306896412507203,0.661,0.343,0.0608711355985436,"12","IFT57"
"TRIM65",3.85136340215594e-06,0.358845157205786,0.729,0.414,0.0614138408107786,"12","TRIM65"
"SRPK1",3.96832063613474e-06,0.326937339361824,0.525,0.257,0.0632788408638046,"12","SRPK1"
"LRP3",3.96895259829712e-06,0.294166191002903,0.61,0.305,0.0632889181324458,"12","LRP3"
"SLC46A1",3.99222310907962e-06,0.328891935104159,0.678,0.351,0.0636599896973836,"12","SLC46A1"
"PTPMT11",4.02036517260577e-06,0.303542696001489,0.593,0.297,0.0641087430423717,"12","PTPMT1"
"ODF2L2",4.08348314503035e-06,0.394622397937837,0.814,0.572,0.0651152222306539,"12","ODF2L"
"PXDC1",4.09922159653304e-06,0.345751975645795,0.61,0.327,0.0653661875783159,"12","PXDC1"
"C1orf52",4.13011540441758e-06,0.368333421323876,0.661,0.368,0.0658588202388427,"12","C1orf52"
